row,plc,horseno,horse,jockey,trainer,actualwt,declarwt,draw,finishtime,winodds,date,raceno,class,distance
0,1,11,DIVINE BOY(T163),J Moreira,Y S Tsui,115,1084,9,1.10.14,5.1,14/10/15,7,3,1200
0,1,9,FOODIE(S434),J Moreira,C S Shum,123,1081,2,1.41.65,5.6,22/10/15,7,3,1650
0,1,7,COUNTRY MELODY(T011),J Moreira,J Size,127,1086,8,0.57.35,4.6,11/11/15,7,2,1000
0,1,14,TEAM FORTUNE(T306),J Moreira,W Y So,115,1161,3,0.56.82,2.2,14/11/15,7,3,1000
0,1,1,STRONG FOUNDATION(P428),J Moreira,K W Lui,133,1068,7,1.41.02,2.4,16/12/15,7,3,1650
0,1,6,HIT THE BID(P214),J Moreira,A T Millard,121,1174,1,1.08.51,2.2,19/12/15,7,3,1200
0,1,7,HAPPY SURVEYS(T248),J Moreira,J Size,123,1155,8,1.10.03,4,31/03/16,7,3,1200
0,1,5,HAMMER KING(V034),J Moreira,P F Yiu,130,1192,1,1.10.32,3.5,10/04/16,7,3,1200
0,1,3,THE SYLPH(T055),J Moreira,D E Ferraris,131,1011,2,1.40.99,4.4,06/07/16,7,4,1650
0,1,5,MARVEL HERO(T311),J Moreira,C Fownes,127,983,1,1.39.73,3,14/12/16,7,3,1650
0,1,14,DINOZZO(V246),J Moreira,J Size,116,1047,14,1.47.11,1.7,22/01/17,7,2,1800
0,1,11,BRAVO WATCHMAN(A102),J Moreira,W Y So,118,1228,7,0.56.22,1.5,12/03/17,7,3,1000
0,1,1,PIKACHU(S298),J Moreira,D E Ferraris,133,1142,6,1.39.31,7.8,15/03/17,7,3,1650
0,1,9,MARVEL HERO(T311),J Moreira,C Fownes,115,977,7,1.48.05,2.8,22/03/17,7,1,1800
0,1,7,SUPER TURBO(V310),J Moreira,D J Hall,123,1030,3,1.09.25,2.1,17/05/17,7,2,1200
0,1,9,STAR MAJESTIC(S093),J Moreira,P O'Sullivan,130,1086,2,1.40.76,3.2,24/06/15,8,3,1650
0,1,10,CONTENTMENT(S391),J Moreira,J Size,120,1146,11,1.33.79,2,25/10/15,8,1,1600
0,1,2,DIVINE BOY(T163),J Moreira,Y S Tsui,125,1080,10,1.09.87,2.2,11/11/15,8,3,1200
0,1,9,TEN FLAMES(S447),J Moreira,L Ho,117,1118,1,1.10.41,2.2,16/12/15,8,3,1200
0,1,9,HEROIC GURU(S260),J Moreira,D J Hall,120,1063,9,1.22.09,3.1,19/12/15,8,3,1400
0,1,9,DIVINE BOY(T163),J Moreira,Y S Tsui,121,1083,1,1.09.66,1.6,23/12/15,8,2,1200
0,1,4,PEOPLE'S KNIGHT(T305),J Moreira,J Moore,125,1154,7,1.22.48,2.6,27/12/15,8,1,1400
0,1,10,LUCKY EVER(T293),J Moreira,C S Shum,118,1166,2,1.09.43,1.8,17/01/16,8,3,1200
0,1,6,TWIN DELIGHT(S125),J Moreira,C Fownes,123,1102,5,1.39.86,3.7,20/01/16,8,2,1650
0,1,12,MR RIGHT(T334),J Moreira,L Ho,115,1191,10,0.57.37,2.4,17/02/16,8,3,1000
0,1,7,HELENE PARAGON(V167),J Moreira,J Moore,117,1075,7,1.47.59,2.6,06/03/16,8,2,1800
0,1,7,BASIC TRILOGY(V133),J Moreira,J Moore,130,1186,8,1.51.72,5.6,16/03/16,8,3,1800
0,1,4,MR STUNNING(V153),J Moreira,J Size,130,1100,11,1.08.88,1.9,16/04/16,8,3,1200
0,1,9,MY DARLING(V142),J Moreira,J Size,118,1126,11,1.10.01,4.7,20/04/16,8,3,1200
0,1,1,MAURICE(V605),J Moreira,N Hori,126,1145,6,1.34.08,2.1,01/05/16,8,1,1600
