horse_name,jockey,trainer,actual_weight,declared_horse_weight,draw,finish_time,win_odds,running_position_1,running_position_2,running_position_3,finishing_position
TRENDIFUL,J Moreira,C S Shum,120,1095,7,0.56.95,12,9,7,8,8
ACCESS YEARS,J Moreira,J Size,130,1051,2,1.08.54,4.1,2,2,1,1
POSITIVE ENERGY,J Moreira,P F Yiu,115,1165,2,1.10.43,2.2,3,2,6,6
GOLD TARTINI,J Moreira,D J Hall,133,1018,7,1.36.79,5.6,9,9,9,4
WINNING BOY,J Moreira,T P Yung,116,976,13,1.22.99,7.6,9,11,10,9
REGENCY HO HO,J Moreira,T P Yung,118,1143,10,0.56.51,2.1,4,1,7,7
PRINCIPAL,J Moreira,J Moore,130,1142,3,1.34.88,2.6,6,6,7,5
TRIUMPHANT JEWEL,J Moreira,C S Shum,131,1081,10,0.57.06,12,2,3,9,9
KHAYA,J Moreira,J Size,128,1073,14,1.34.47,4.3,1,1,1,1
DEMOKLES,J Moreira,C H Yip,133,1030,7,1.35.09,3.2,2,2,2,2
REDWOOD BABY,J Moreira,C S Shum,126,1002,8,1.48.15,3,5,5,5,2
FLORAL MAN,J Moreira,C S Shum,132,1169,13,1.23.74,8,4,8,9,4
LUCKY DAY,J Moreira,A S Cruz,133,1094,11,1.09.63,5.1,4,4,2,2
REAL GENERAL,J Moreira,C H Yip,116,1123,3,1.36.00,4,5,5,5,6
AMBER SKY,J Moreira,P F Yiu,132,1174,7,0.55.90,2.3,3,2,4,4
BERLINI,J Moreira,D J Hall,124,1028,10,1.09.20,4.9,10,10,5,5
GOOD GOOD VIEW,J Moreira,C H Yip,121,1116,10,1.21.74,3.6,12,12,10,3
FASTER MORE,J Moreira,P F Yiu,115,1175,8,1.35.37,2.4,5,5,6,3
SUPREME PROFIT,J Moreira,C S Shum,133,1217,7,1.36.37,5.8,8,8,8,1
GALLANT TRIUMPH,J Moreira,A Schutz,133,1092,3,1.23.29,9.2,7,7,7,4
MULTI-WIN GENERAL,J Moreira,K W Lui,124,1186,9,1.10.43,3.2,10,10,1,1
DRAGON PINS,J Moreira,R Gibson,127,1103,11,1.48.68,13,7,7,7,2
CELESTIAL SMILE,J Moreira,P O'Sullivan,133,1154,12,1.22.95,3.5,5,6,6,1
SECRET SHAM,J Moreira,J Moore,115,1148,3,1.21.65,3.1,6,7,5,6
PRECISION KING,J Moreira,T P Yung,115,1160,12,1.09.11,4.2,1,1,2,2
SUPREME FALCON,J Moreira,J Moore,123,1139,1,1.09.50,2.7,4,5,1,1
HELEN'S CHOICE,J Moreira,K W Lui,123,1189,1,1.41.12,4.6,4,3,3,1
TOUR DE FORCE,J Moreira,J Size,132,1124,4,1.09.75,6.6,6,5,4,4
YAT DING WIN,J Moreira,D Cruz,128,1215,1,1.10.86,3.4,1,3,6,6
REAL GENERAL,J Moreira,C H Yip,118,1122,1,1.51.23,4.9,4,3,3,3
LUCKY DAY,J Moreira,A S Cruz,133,1085,5,1.11.10,3.3,5,5,5,5
OWNERS' GLORY,J Moreira,D Cruz,120,1051,8,1.41.36,10,9,9,10,1
BRAVENESS,J Moreira,C Fownes,133,1091,7,0.57.18,3.9,2,2,5,5
GENTILIS,J Moreira,C H Yip,115,1092,3,1.10.21,1.8,1,1,1,1
GRIFFINDOR,J Moreira,J Moore,115,1132,3,1.41.21,4.6,7,7,8,6
NOBLE DELUXE,J Moreira,D Cruz,116,1023,5,1.48.74,8.6,4,5,6,4
DELIGHT FORTUNE,J Moreira,L Ho,125,1095,4,0.58.37,9,7,7,8,8
SMART GUY,J Moreira,L Ho,119,935,1,1.52.54,3.4,3,3,5,1
TRIUMPHANT JEWEL,J Moreira,C S Shum,133,1084,9,0.57.56,9.5,1,1,3,3
VERDANE,J Moreira,J Moore,131,1074,4,1.40.99,3.7,8,8,7,1
BALTIC WARRIOR,J Moreira,C S Shum,126,1091,6,1.10.82,6.5,11,10,6,6
FIRST SIGHT LOVE,J Moreira,A Lee,129,1096,10,1.40.95,7.2,10,11,11,5
INVICTUS,J Moreira,J Moore,115,1127,3,1.41.85,3,2,1,1,7
REGENCY HO HO,J Moreira,T P Yung,118,1147,9,1.11.50,3.7,3,3,7,7
DIAMOND MYSTERIOUS,J Moreira,K L Man,122,1100,11,0.57.54,6.4,3,3,7,7
BERLINI,J Moreira,D J Hall,121,1019,9,1.22.88,2.5,8,8,7,4
KHAYA,J Moreira,J Size,131,1083,10,1.35.45,3.2,12,12,12,6
DASHING FELLOW,J Moreira,J Moore,126,1142,6,1.09.29,10,3,1,2,2
BORNFREE,J Moreira,Y S Tsui,127,1242,3,1.23.13,6.2,9,10,11,8
TWIN DELIGHT,J Moreira,C Fownes,123,1076,4,1.09.30,8.4,4,4,6,6
SUPREME PROFIT,J Moreira,C S Shum,118,1219,11,1.36.22,2.9,12,9,10,9
STERLING CITY,J Moreira,J Moore,132,1064,3,1.09.76,6,6,6,10,10
DESIGNS ON ROME,J Moreira,J Moore,133,1094,5,1.34.88,2,9,9,9,8
POSITIVE ENERGY,J Moreira,P F Yiu,115,1158,12,1.10.60,11,5,5,6,6
RUGBY DIAMOND,J Moreira,W Y So,126,1042,4,0.57.61,4.5,4,4,5,5
EROICO,J Moreira,J Size,126,1158,7,1.10.54,2.8,11,11,5,5
ORIENTAL PROSPER,J Moreira,Y S Tsui,115,1231,2,1.09.72,4.9,1,1,1,1
GRIFFINDOR,J Moreira,J Moore,118,1118,8,1.41.19,7.5,9,9,9,5
YOU ARE THE ONE,J Moreira,P F Yiu,116,1090,9,1.11.22,5.1,3,3,12,12
KEY WITNESS,J Moreira,A S Cruz,123,1160,10,1.09.34,3,9,9,2,2
GOLDWEAVER,J Moreira,Y S Tsui,119,1066,5,1.22.72,2.8,1,1,1,1
CELESTIAL SMILE,J Moreira,P O'Sullivan,119,1143,7,1.22.97,3,6,7,4,3
HAPPY MOMENTS,J Moreira,J Moore,131,993,12,1.23.42,33,12,12,12,12
SIGHT SEEING,J Moreira,W Y So,124,1123,9,1.09.83,5.7,2,2,1,1
FLYING IN,J Moreira,K L Man,131,1086,9,1.36.58,11,10,11,11,6
MELLIFLUENT,J Moreira,C S Shum,132,1161,2,1.09.40,3.9,7,7,4,4
GRAND HARBOUR,J Moreira,J Moore,129,1180,6,1.34.78,3.2,2,2,2,2
GOOD GOOD VIEW,J Moreira,C H Yip,119,1117,10,1.35.12,3.5,10,10,10,3
ART OF SUCCESS,J Moreira,C S Shum,117,1118,8,0.58.82,6.6,8,7,13,13
ACCESS YEARS,J Moreira,J Size,133,1045,12,1.08.03,8.4,2,2,3,3
SPARKLING SWORD,J Moreira,K W Lui,132,1132,3,1.10.17,2.8,4,4,4,4
WHAT YOU DREAM,J Moreira,J Moore,124,1089,8,1.34.47,4.5,12,13,11,4
SHINING CHAMPION,J Moreira,J Size,126,1102,3,1.09.40,2.3,5,5,1,1
SHADOWFAXE,J Moreira,J Size,125,1228,5,0.57.65,7.3,2,3,9,9
GIGGLES FOREVER,J Moreira,C W Chang,133,1212,7,1.49.58,9.6,9,9,10,7
SECRET COMMAND,J Moreira,A T Millard,126,1095,10,1.09.71,3,5,5,4,4
KHAYA,J Moreira,J Size,119,1090,5,1.47.69,2.6,3,6,6,6
BRILLIANT DREAM,J Moreira,D J Hall,115,1132,3,1.21.64,1.9,4,5,5,2
FASTER MORE,J Moreira,P F Yiu,117,1192,6,1.48.60,2.7,5,8,8,6
SMART GUY,J Moreira,L Ho,127,937,4,2.20.36,3,6,5,6,4
HIT THE BID,J Moreira,A T Millard,129,1145,11,1.10.50,5.7,3,1,2,2
YAT DING WIN,J Moreira,D Cruz,129,1211,10,0.58.25,7.9,2,3,5,5
INVICTUS,J Moreira,J Moore,133,1127,4,1.41.47,4.9,6,7,7,1
SOUTHERN SPRINGS,J Moreira,C S Shum,128,1104,5,1.43.56,5.2,6,6,8,11
GOOD CHOICE,J Moreira,S Woods,126,1003,1,1.41.24,3.9,5,5,6,5
ADEPTO,J Moreira,J Moore,124,1164,2,0.58.94,3,6,6,10,10
GENTILIS,J Moreira,C H Yip,125,1098,10,1.10.18,4,1,1,2,2
TANG PALACE,J Moreira,T K Ng,115,1165,2,1.09.66,3.7,4,5,4,4
BERLINI,J Moreira,D J Hall,122,1029,8,1.36.52,4.3,4,4,4,7
ORIENTAL FANTASIA,J Moreira,Y S Tsui,117,1082,7,1.24.32,3.2,1,1,1,13
DASHING FELLOW,J Moreira,J Moore,127,1150,7,1.09.87,1.5,4,5,3,3
AH BO,J Moreira,A T Millard,122,1112,6,1.09.44,2.3,8,8,2,2
SERGEANT TITANIUM,J Moreira,J Size,130,1148,9,1.37.43,31,8,7,9,12
STAR MAJESTIC,J Moreira,P O'Sullivan,128,1072,10,1.22.46,4.3,7,7,7,2
PABLOSKY,J Moreira,J Moore,126,1112,3,1.08.26,2.5,1,1,1,1
SECRET SHAM,J Moreira,J Moore,131,1157,9,1.21.46,12,7,7,5,7
SEA DIAMOND,J Moreira,J Moore,132,1191,14,1.22.57,10,4,1,1,10
HELEN'S CHOICE,J Moreira,K W Lui,129,1189,10,1.41.84,3.1,9,10,9,2
STAG KNIGHT,J Moreira,J Moore,120,1067,7,1.10.10,6.1,9,8,1,1
EVERYONE'S FORTUNE,J Moreira,K L Man,123,982,5,1.43.10,37,5,5,5,11
VICTORIUS,J Moreira,J Size,133,1147,6,1.10.62,3.3,9,11,9,9
REDWOOD BABY,J Moreira,C S Shum,120,973,2,1.50.53,2.4,10,10,11,5
HARBOUR MASTER,J Moreira,J Moore,122,1173,5,1.39.72,4.3,7,6,5,1
FIRST SIGHT LOVE,J Moreira,A Lee,129,1097,2,1.42.08,5,8,8,7,8
KING HARADASUN,J Moreira,W Y So,129,1190,10,1.35.45,6.1,13,12,13,4
HIDDEN VALUE,J Moreira,C Fownes,115,1115,5,1.21.69,3.6,4,6,5,3
TEOFILO CALVA,J Moreira,J Size,129,1199,4,1.08.69,2.2,8,7,2,2
EROICO,J Moreira,J Size,126,1170,3,1.09.00,2.3,5,3,1,1
STRATHMORE,J Moreira,A T Millard,116,1200,11,1.08.46,13,6,5,1,1
JUN JU,J Moreira,C H Yip,115,1127,8,1.22.95,5.2,10,9,9,8
GRAND HARBOUR,J Moreira,J Moore,131,1168,13,2.03.85,4.8,8,3,3,13
STERLING CITY,J Moreira,J Moore,128,1062,7,1.08.85,19,10,8,12,12
ABLE FRIEND,J Moreira,J Moore,123,1301,8,1.33.46,1.9,5,5,5,1
DESIGNS ON ROME,J Moreira,J Moore,128,1093,10,2.01.84,2.6,10,10,10,5
HURRY HURRY UP,J Moreira,C Fownes,132,1098,6,1.40.08,15,1,1,1,4
RUGBY DIAMOND,J Moreira,W Y So,125,1041,2,0.57.65,4.8,7,6,3,3
GOLDEN BAUHINIA,J Moreira,Y S Tsui,129,1074,9,1.10.99,14,4,5,5,5
GOLD TARTINI,J Moreira,D J Hall,131,986,2,1.51.91,10,6,7,7,9
DRAGON GLORY,J Moreira,C W Chang,124,1153,5,1.40.69,6.7,6,5,5,2
WINFULL PATROL,J Moreira,R Gibson,124,1192,11,1.10.63,9.4,2,2,7,7
SMART MAN,J Moreira,J Moore,124,1125,5,1.09.70,4.7,4,4,3,3
INVICTUS,J Moreira,J Moore,120,1126,8,1.40.67,8,4,3,2,10
SPARKLING SWORD,J Moreira,K W Lui,132,1132,11,1.22.33,6.7,4,5,5,1
BRILLIANT DREAM,J Moreira,D J Hall,120,1117,6,1.21.29,2.3,5,4,3,1
VARA PEARL,J Moreira,A T Millard,122,1023,4,1.21.90,3.6,8,8,8,2
SIGHT SEEING,J Moreira,W Y So,130,1131,1,1.09.26,2.6,4,4,1,1
HAYHAY,J Moreira,K W Lui,126,1138,9,0.56.74,12,2,3,2,2
SHINING CHAMPION,J Moreira,J Size,116,1104,5,1.09.39,1.9,9,8,4,4
TOP ACT,J Moreira,A T Millard,133,1093,2,1.34.70,3.2,4,6,6,1
DIVINE CALLING,J Moreira,A T Millard,128,1165,2,1.34.03,1.4,5,7,5,3
CELESTIAL SMILE,J Moreira,P O'Sullivan,120,1142,12,1.34.70,4.2,3,2,2,1
ARPINATI,J Moreira,J Moore,121,1163,11,1.21.16,3.3,9,6,5,2
TRILLION TREASURE,J Moreira,A Schutz,118,1074,7,0.58.18,2.2,5,5,3,3
TOUR DE FORCE,J Moreira,J Size,132,1138,5,0.56.57,7.7,6,5,1,1
VICTORY GENERAL,J Moreira,C Fownes,121,1062,11,1.11.28,6.9,1,2,10,10
STAG KNIGHT,J Moreira,J Moore,128,1054,4,1.10.75,2,7,6,6,6
DRAGON PINS,J Moreira,R Gibson,129,1098,11,1.50.61,8.8,9,9,9,7
REDWOOD BABY,J Moreira,C S Shum,125,978,3,2.17.89,3.4,7,7,7,6
GENTILIS,J Moreira,C H Yip,125,1095,7,1.09.85,3.3,1,1,2,2
G-ONE BO BO,J Moreira,J Size,130,1107,9,1.11.00,9.2,12,10,5,5
SIGHT BELIEVER,J Moreira,J Size,118,1187,11,1.08.58,5.9,1,1,2,2
VERDANE,J Moreira,J Moore,120,1094,1,1.39.46,3.9,7,7,8,1
TANG PALACE,J Moreira,T K Ng,115,1157,2,1.10.41,3.6,3,2,3,3
DASHING FELLOW,J Moreira,J Moore,126,1153,11,1.23.03,2.5,10,12,11,2
KING HARADASUN,J Moreira,W Y So,129,1191,8,1.51.43,3.8,11,12,10,4
IMPERIAL CONCORDE,J Moreira,S Woods,133,1100,10,1.40.37,3.4,13,12,14,2
STARTLING POWER,J Moreira,T P Yung,130,1028,2,1.09.31,2.8,4,3,1,1
HIDDEN VALUE,J Moreira,C Fownes,119,1109,11,1.09.41,2.8,4,4,2,2
FLYING RED,J Moreira,J Size,130,1173,5,1.10.24,12,4,3,1,1
RUGBY DIAMOND,J Moreira,W Y So,126,1040,11,1.11.01,8.2,7,7,10,10
